Company,Quarter,Year,Revenue,Profit,Employees,Market_Cap
TechCorp,Q1,2023,150000000,25000000,1200,5000000000
DataSystems,Q1,2023,89000000,12000000,800,2100000000
CloudServ,Q1,2023,220000000,45000000,1800,8500000000
AI_Solutions,Q1,2023,67000000,8500000,450,1800000000
CyberSec,Q1,2023,34000000,5200000,320,980000000
TechCorp,Q2,2023,165000000,28000000,1250,5200000000
DataSystems,Q2,2023,95000000,14000000,830,2200000000
CloudServ,Q2,2023,245000000,52000000,1900,9200000000
AI_Solutions,Q2,2023,73000000,9800000,480,2000000000
CyberSec,Q2,2023,38000000,6100000,340,1100000000
TechCorp,Q3,2023,178000000,32000000,1300,5400000000
DataSystems,Q3,2023,102000000,16500000,860,2300000000
CloudServ,Q3,2023,268000000,58000000,2000,9800000000
AI_Solutions,Q3,2023,81000000,11200000,510,2200000000
CyberSec,Q3,2023,42000000,7200000,360,1250000000
TechCorp,Q4,2023,195000000,38000000,1350,5800000000
DataSystems,Q4,2023,115000000,19500000,890,2500000000
CloudServ,Q4,2023,295000000,65000000,2100,10500000000
AI_Solutions,Q4,2023,89000000,13100000,540,2400000000
CyberSec,Q4,2023,48000000,8500000,380,1400000000
